# How are active users trending?,,,,
# Start date: 20230215,,,,
# End date: 20260215,,,,
Nth day,30 days,7 days,1 day,Views
0,23840,3579,879,10411
1,23654,3605,744,9096
2,23359,3659,495,5068
3,22964,3637,227,2476
4,22755,3774,543,5975
5,22901,3956,1029,11421
6,22722,4083,940,9807
7,21422,4130,930,9969
8,19288,4184,808,8895
9,17144,4194,542,6463
10,15956,4329,417,5386
11,15553,4361,561,5983
12,15723,4364,995,11123
13,15705,4451,1068,12316
14,15102,4418,884,10169
15,14485,4440,845,9732
16,13785,4409,498,5573
17,13173,4337,297,3366
18,13109,4316,507,5581
19,13451,4286,974,10346
20,13725,4267,1057,12218
21,13979,4667,1444,24629
22,13997,4779,1052,15495
23,13871,4765,521,6949
24,13562,4714,241,3839
25,13480,4489,220,3168
26,13505,4033,342,5762
27,13547,3504,384,6636
28,13395,2648,365,6413
29,13116,1977,284,4351
30,12737,1763,270,4062
31,12564,1823,325,5217
32,12529,2036,478,7560
33,13078,2818,1260,19003
34,13472,3628,1421,22259
35,13700,4394,1431,22441
36,13811,5031,1261,19634
37,13648,5352,836,12590
38,13411,5440,445,6293
39,13462,5623,710,11158
40,13942,5801,1513,25275
41,14379,5939,1589,25843
42,14721,6234,1703,29492
43,14888,6413,1543,25298
44,14844,6465,950,16054
45,14658,6499,513,7368
46,14701,6504,766,12376
47,15740,7288,2489,44664
48,16755,8186,2896,51727
49,17497,8926,2988,54735
50,17855,9192,2201,37850
51,17682,9289,1255,21076
52,17569,9453,805,13922
53,17724,9654,1081,19228
54,18727,9960,2850,53571
55,20130,10610,3945,78045
56,21412,11213,4119,86302
57,22482,11892,3636,73077
58,23093,12311,2102,39251
59,23318,12373,1057,19558
60,24197,13482,2983,66662
61,25707,14707,4743,101513
62,26882,14794,4224,84183
63,27679,14311,3741,77268
64,28142,13618,3030,62809
65,28296,13367,1935,37261
66,28087,13169,675,9181
67,28042,12298,934,11723
68,28382,10911,1677,21360
69,28663,9386,1461,19020
70,28645,8060,1276,16906
71,28567,7037,1214,13722
72,28318,6237,690,8170
73,27933,5933,294,3841
74,27911,5861,805,9407
75,28278,5796,1555,19471
76,28589,5808,1409,16694
77,28428,5898,1418,16172
78,28128,5929,1289,15549
79,27705,6210,1052,11530
80,27443,6635,978,10906
81,27478,6947,1206,13494
82,27823,6981,1576,17670
83,28173,7074,1426,16271
84,27852,6974,1280,14067
85,27131,6978,1261,14766
86,26094,6918,957,10541
87,24987,6670,541,7038
88,24440,6298,616,7635
89,24467,5706,860,10925
90,24119,5351,952,13139
91,22763,4794,612,8492
92,21309,4207,567,9111
93,20145,3863,521,7088
94,19007,3738,379,5623
95,18383,3577,393,4798
96,18305,3323,546,6952
97,18144,2937,497,7109
98,17603,2757,395,6003
99,17158,2615,382,4991
100,16729,2452,306,4095
101,16171,2332,222,2931
102,15957,2194,212,3129
103,15952,1977,266,3557
104,15879,1945,451,5831
105,15271,1913,390,5339
106,14739,1893,353,5139
107,14196,1870,301,3855
108,13596,1871,220,2299
109,13180,1968,306,3894
110,12924,2092,403,5529
111,12496,2049,400,4793
112,11815,2133,480,5494
113,11261,2262,510,6487
114,10681,2378,451,5018
115,9941,2360,219,2740
116,9550,2405,348,4662
117,9523,2481,488,6343
118,9546,2684,625,9679
119,9340,2736,585,8205
120,9011,2729,531,7401
121,8854,2690,449,7054
122,8644,2736,294,3319
123,8531,2762,380,4376
124,8790,3004,785,11599
125,8895,2946,564,8866
126,8868,2886,497,7807
127,8890,2875,508,7038
128,8895,2879,441,5981
129,8843,2864,264,3479
130,8895,2844,354,5770
131,9145,2703,608,9009
132,9319,2645,504,7716
133,9434,2647,485,7600
134,9425,2611,468,5781
135,9405,2531,353,4882
136,9273,2484,188,2509
137,9171,2381,189,2615
138,9138,2088,236,4759
139,9056,1817,168,1725
140,8999,1687,341,5204
141,9019,1655,428,6741
142,8886,1634,344,4242
143,8700,1660,221,3637
144,8578,1734,277,3530
145,8763,1972,489,6822
146,8813,2242,515,7351
147,8840,2386,514,8061
148,8722,2435,483,7750
149,8634,2489,427,5885
150,8474,2505,260,4053
151,8397,2531,321,4793
152,8568,2595,573,9868
153,8666,2652,567,9649
154,8472,2623,524,8244
155,8378,2543,412,6705
156,8322,2455,334,5694
157,8161,2433,230,3745
158,8091,2413,300,5144
159,8257,2346,479,7381
160,8570,2532,714,8967
161,8489,2548,522,9010
162,8501,2627,515,7789
163,8457,2696,425,5935
164,8323,2729,278,4220
165,8295,2754,325,4428
166,8538,2821,534,7983
167,8746,2656,510,7502
168,8880,2641,506,7405
169,9091,2594,454,7167
170,9166,2570,423,5508
171,9052,2560,281,3510
172,8995,2523,284,3992
173,9182,2554,567,7901
174,9402,2631,565,8637
175,9257,2470,291,4207
176,8961,2127,27,204
177,8849,2017,290,3422
178,8722,2043,309,4228
179,8743,2140,375,5485
180,8999,2196,657,10249
181,9159,2181,589,9978
182,9178,2394,574,9072
183,9238,2809,566,9708
184,9276,2952,479,7195
185,9241,2972,347,5386
186,9301,3019,427,6238
187,9586,3063,661,10107
188,9784,3109,624,8994
189,9865,3112,604,8197
190,9728,3119,573,8417
191,9642,3115,462,6823
192,9568,3126,340,5320
193,9597,3122,425,5748
194,9919,3184,737,10584
195,10169,3211,667,9411
196,10316,3334,754,10124
197,10606,3537,834,11130
198,10887,3883,868,11637
199,10864,3991,484,5966
200,11193,4466,1008,14406
201,11889,4922,1357,20728
202,14020,7147,3471,53202
203,16991,10407,5330,74174
204,19087,12660,4794,63125
205,19699,13065,1765,22841
206,20008,13087,744,10839
207,20358,13122,1218,18796
208,21200,13508,2318,32168
209,21803,12621,1952,28308
210,22368,10579,1803,24471
211,22585,8227,1363,15097
212,22566,7605,767,8705
213,22424,7344,282,2659
214,22294,6939,503,5296
215,22547,6104,975,10611
216,22677,5412,883,9530
217,22714,4717,889,10147
218,22713,4241,769,9481
219,22625,4023,473,5096
220,22480,4008,249,2431
221,22501,4003,471,4766
222,22690,3904,853,9234
223,22995,3970,988,10431
224,23019,3975,913,10473
225,23034,4026,800,9150
226,22983,4053,523,5069
227,22779,4109,343,3928
228,22621,4178,551,5605
229,22830,4296,1018,11288
230,22896,4384,1040,11089
231,22807,4539,1162,12541
232,21602,4670,958,10933
233,19374,4668,519,5796
234,17042,4594,258,2759
235,16437,4630,594,6190
236,16684,4747,1142,13242
237,16680,4791,1148,13245
238,16106,4799,1188,13440
239,15613,4801,962,11003
240,14852,4825,526,6337
241,14249,4781,231,2656
242,13986,4686,481,5166
243,14295,4567,984,12195
244,14656,4581,1156,14466
245,15877,6082,3030,61896
246,16532,6970,2408,41279
247,16754,7415,1323,19263
248,16634,7622,607,8506
249,16719,7844,882,13207
250,17566,8430,2051,32431
251,18186,8985,2078,32843
252,18710,8509,2030,33997
253,18953,8055,1671,26442
254,18874,7712,786,10221
255,18749,7524,361,5101
256,18808,7450,740,11055
257,19410,7395,1828,29539
258,19958,7159,1825,29568
259,20263,7017,1790,30316
260,20499,7063,1714,26887
261,20456,7252,1100,16454
262,20260,7354,580,9254
263,20435,7522,919,14645
264,21666,8608,3187,59560
265,22724,9507,3351,60663
266,23321,10239,2974,48817
267,23710,10652,2480,39262
268,23765,10887,1526,23765
269,23779,11083,831,12960
270,24164,11407,1551,38315
271,25596,11935,3970,73107
272,27514,13224,5503,119067
273,29280,14783,5933,130738
274,30281,15809,4272,83200
275,30280,16379,2852,54426
276,29829,16465,1029,20892
277,30192,17069,2561,60757
278,31014,16829,3203,66894
279,31520,15167,2353,47823
280,31434,12369,1717,34650
281,30852,10080,565,8218
282,30403,8669,622,8720
283,30013,8494,622,11040
284,30179,7786,1227,21582
285,31146,7662,3063,65377
286,31862,7757,2585,44098
287,32117,8254,2690,50665
288,32212,9078,2044,34065
289,32006,9287,1063,13530
290,31598,9255,499,6103
291,31478,9059,736,9204
292,31747,8272,1570,20495
293,32022,7745,1598,20519
294,31735,6973,1530,19457
295,31315,6589,1388,17081
296,30787,6569,1084,13490
297,30320,6596,648,7677
298,30126,6768,875,10636
299,30429,6916,1700,20115
300,30652,7100,1772,21295
301,30007,7224,1703,20263
302,28468,7307,1531,18908
303,26609,7669,1581,17877
304,25374,8079,1240,14213
305,24644,8357,1258,16063
306,25096,8417,1662,20521
307,24878,8303,1589,19282
308,24282,8151,1542,18921
309,23945,7970,1176,13811
310,23695,7535,958,12049
311,23853,7291,882,12675
312,23922,6872,708,9110
313,24106,6156,685,10407
314,24064,5460,694,12997
315,23093,4697,592,9135
316,22268,4201,580,8265
317,21302,3817,461,6116
318,20506,3434,403,6564
319,20172,3113,291,4035
320,20130,2892,393,5761
321,20093,2791,572,7931
322,19659,2747,526,7962
323,19242,2751,582,8407
324,18785,2731,460,6348
325,18243,2679,350,5144
326,17975,2769,404,6578
327,18000,2945,604,8221
328,17994,3031,693,11163
329,17489,3114,674,10148
330,16895,3210,739,11211
331,16395,3351,661,10788
332,15857,3431,447,7359
333,15156,3543,515,6929
334,14852,3660,722,11118
335,14702,3903,971,14947
336,14246,4176,1029,16835
337,13884,4491,1150,18246
338,13594,4913,1235,18504
339,13457,5232,917,14163
340,13698,5871,1385,20125
341,15453,8030,3582,55290
342,18629,11657,5934,90034
343,20855,14079,5514,80128
344,21750,14925,3204,46721
345,22085,15017,1706,22737
346,22114,14892,810,11150
347,22290,14795,1367,19204
348,23019,14167,2537,34386
349,23770,12137,2260,32009
350,24259,9921,1942,27864
351,24529,8649,1279,13894
352,24554,8109,706,7960
353,24480,7899,360,3720
354,24462,7413,503,5017
355,24672,6362,975,9931
356,24825,5503,985,10283
357,24986,4750,915,11067
358,25027,4402,813,8681
359,24944,4238,465,5056
360,24683,4164,288,2873
361,24589,4091,397,4739
362,24731,4040,852,10568
363,24915,4043,985,12145
364,24919,3958,828,8969
365,24910,4039,926,10324
366,24906,4240,704,6039
367,24722,4450,515,5228
368,24609,4767,793,7890
369,24921,5115,1268,13214
370,24977,5304,1186,12938
371,24046,5599,1227,14695
372,22025,5699,1059,10785
373,19857,5644,670,6507
374,18525,5620,478,4166
375,18145,5524,689,6957
376,18368,5379,1104,12682
377,18243,5266,1063,12073
378,17601,5186,1118,12066
379,16770,4983,825,9758
380,16005,4850,512,5870
381,15541,4732,336,3474
382,15383,4559,472,5447
383,15603,4409,899,9680
384,15821,4355,990,12639
385,15880,4335,1156,13968
386,15757,4347,870,10971
387,15554,4343,498,5724
388,15298,4291,308,3866
389,15268,4272,436,4862
390,15559,4295,923,11557
391,15852,4296,982,12010
392,16502,5037,2053,39282
393,16847,5630,1810,35010
394,16981,5963,1074,17851
395,16726,6023,470,7226
396,16663,6267,779,11066
397,17191,6830,1784,28568
398,17587,7274,1818,29191
399,17597,6924,1418,22108
400,17317,6384,1015,14968
401,17000,6088,514,6860
402,16528,5960,309,5139
403,16337,5657,295,5318
404,16204,4694,370,6595
405,16034,3647,390,6387
406,15704,2783,395,6891
407,15443,2268,433,8143
408,14959,2147,387,7063
409,14772,2212,393,6197
410,14806,2450,558,9714
411,15984,4423,2599,47008
412,17277,6481,3268,62173
413,18286,8255,3153,58454
414,18787,9439,2597,46654
415,18834,9993,1538,26436
416,18723,10135,850,13428
417,19040,10627,1473,27420
418,20160,11071,3236,61429
419,21776,11973,4562,94368
420,23245,13104,5205,109203
421,24290,14137,4784,104971
422,24553,14739,2862,54451
423,24505,15138,1627,33230
424,24674,15466,2001,38653
425,26081,16353,4433,89974
426,27245,16087,4240,89379
427,27818,15053,3850,77802
428,28060,13830,3067,64368
429,28048,13038,1710,29529
430,27907,12450,595,8349
431,27999,12086,845,10181
432,28283,10690,1613,21613
433,28652,9354,1467,19597
434,28954,7972,1374,16517
435,29195,6831,1136,14048
436,29324,6193,685,7699
437,29283,5992,279,2960
438,29355,5848,627,7458
439,29654,5658,1345,15434
440,29887,5638,1444,18260
441,29848,5697,1513,18852
442,29478,5824,1337,16129
443,29097,6066,1146,13941
444,28726,6510,977,11131
445,28666,6822,1157,13544
446,29016,6875,1472,16572
447,29229,6967,1462,17868
448,29030,6852,1336,16763
449,28127,6884,1359,16071
450,26558,6795,906,10620
451,24970,6532,589,6994
452,24144,6194,601,7482
453,24010,5788,936,12396
454,23870,5391,966,13576
455,22651,4949,722,9109
456,21369,4337,621,9496
457,20034,4032,490,6801
458,18775,3846,325,4792
459,18146,3675,380,5777
460,18120,3387,564,7154
461,18022,3055,527,7055
462,17538,2840,460,5658
463,17092,2679,414,5565
464,16539,2540,309,4191
465,16121,2448,215,2356
466,15955,2355,263,3385
467,15967,2142,304,3488
468,15913,2056,421,5997
469,15436,1983,382,5207
470,14925,1946,375,5649
471,14323,1986,364,4841
472,13783,2030,270,3545
473,13373,2024,254,3494
474,13102,2140,454,6730
475,12804,2252,558,7689
476,12256,2306,481,6478
477,11544,2365,465,6930
478,10905,2344,377,5470
479,10113,2292,214,3614
480,9710,2316,283,3488
481,9613,2355,470,5953
482,9496,2292,479,7205
483,9157,2265,444,6820
484,8796,2318,505,7488
485,8597,2360,427,5817
486,8363,2433,296,4191
487,8292,2516,402,5489
488,8490,2693,667,9058
489,8570,2744,555,8132
490,8496,2798,522,7134
491,8454,2752,468,7347
492,8412,2721,415,5910
493,8327,2670,234,2994
494,8367,2652,384,5190
495,8549,2581,542,8776
496,8690,2554,511,7307
497,8809,2537,485,6893
498,8845,2518,458,7001
499,8792,2433,338,4549
500,8712,2416,199,2819
501,8636,2333,278,3782
502,8744,2255,428,5635
503,8861,2206,453,7245
504,8794,2080,327,4215
505,8539,1889,199,2517
506,8408,1814,254,3319
507,8267,1841,211,3179
508,8217,1861,305,4832
509,8422,1930,523,8190
510,8590,2037,560,9516
511,8668,2177,487,8072
512,8647,2396,509,6677
513,8641,2528,409,5491
514,8499,2556,236,3880
515,8385,2548,281,4036
516,8549,2576,526,8431
517,8652,2557,547,8666
518,8586,2562,512,8905
519,8519,2522,482,7677
520,8460,2497,403,6354
521,8368,2469,235,3256
522,8249,2469,290,4379
523,8489,2486,552,10231
524,8575,2487,559,10282
525,8538,2476,537,9319
526,8575,2514,533,8751
527,8494,2502,395,6104
528,8332,2501,233,2967
529,8313,2531,290,4047
530,8502,2560,536,8803
531,8603,2527,501,8258
532,8580,2466,453,7839
533,8585,2394,469,6578
534,8595,2349,347,5174
535,8607,2334,243,3288
536,8646,2334,312,4831
537,8845,2335,504,7110
538,9021,2395,520,7654
539,9033,2482,565,9561
540,9011,2521,508,7390
541,9059,2667,516,7933
542,8942,2714,291,4687
543,8900,2759,364,5638
544,9159,2856,643,12537
545,9388,2907,609,13314
546,9493,2977,678,10817
547,9521,3015,592,10645
548,9500,2964,496,7933
549,9384,2982,339,5400
550,9434,3024,408,6993
551,9652,3068,676,10666
552,9832,3077,598,10145
553,9857,3003,583,9193
554,9872,2984,566,9292
555,9936,3035,558,7993
556,9837,3072,370,5072
557,9821,3128,429,5474
558,10180,3236,780,10683
559,10425,3345,722,10999
560,10665,3529,826,11949
561,10952,3799,926,13295
562,11112,3900,741,10951
563,11267,4156,722,9838
564,11572,4506,884,12346
565,12345,5045,1421,19818
566,14395,7333,3583,53813
567,17988,11195,6030,87504
568,20150,13521,5422,76371
569,20615,13970,1939,26382
570,20560,13914,711,10039
571,20839,14046,1473,20039
