# Start date: 20240215
Week,Total revenue,Start Day,End Day
0,12.241425,0,6
1,5.809071,7,13
2,1.785527,14,20
3,1.665918,21,27
4,2.062596,28,34
5,1.882214,35,41
6,1.852852,42,48
7,3.85798,49,55
8,5.500315,56,62
9,1.754805,63,69
10,9.751758,70,76
11,22.586451,77,83
12,26.559075,84,90
13,5.269402,91,97
14,3.242569,98,104
15,3.639357,105,111
16,2.570746,112,118
17,1.4957,119,125
18,0.973767,126,132
19,1.34696,133,139
20,1.416978,140,146
21,1.862141,147,153
22,1.814253,154,160
23,1.160226,161,167
24,1.727177,168,174
25,1.832055,175,181
26,1.663788,182,188
27,1.528405,189,195
28,1.596513,196,202
29,1.949408,203,209
30,2.210649,210,216
31,2.832874,217,223
32,15.198814,224,230
33,11.002842,231,237
34,3.19646,238,244
35,2.485628,245,251
36,2.548258,252,258
37,2.762913,259,265
38,3.046742,266,272
39,11.963187,273,279
40,7.284511,280,286
41,10.69263,287,293
42,30.120163,294,300
43,30.829873,301,307
44,6.827192,308,314
45,3.446474,315,321
46,3.798475,322,328
47,4.865124,329,335
48,2.680565,336,342
49,1.330586,343,349
50,1.234744,350,356
51,2.928093,357,363
52,13.659426,364,370
53,4.810924,371,377
54,1.658382,378,384
55,1.30489,385,391
56,1.804542,392,398
57,1.782432,399,405
58,1.65487,406,412
59,3.936135,413,419
60,3.942551,420,426
61,1.201149,427,433
62,5.867264,434,440
63,12.892643,441,447
64,14.819955,448,454
65,4.49298,455,461
66,2.152342,462,468
67,2.683433,469,475
68,1.972286,476,482
69,0.985347,483,489
70,0.735914,490,496
71,0.910415,497,503
72,1.062775,504,510
73,1.202389,511,517
74,1.205616,518,524
75,0.892027,525,531
76,0.783017,532,538
77,1.050498,539,545
78,1.281382,546,552
79,1.060041,553,559
80,1.306036,560,566
81,1.468658,567,573
82,1.967681,574,580
83,2.48625,581,587
84,15.958669,588,594
85,7.425528,595,601
86,1.703029,602,608
87,1.691902,609,615
88,2.069067,616,622
89,1.870533,623,629
90,5.756737,630,636
91,6.580808,637,643
92,5.315141,644,650
93,7.109772,651,657
94,15.128662,658,664
95,16.748307,665,671
96,3.587998,672,678
97,2.692425,679,685
98,2.744663,686,692
99,3.066434,693,699
100,1.98713,700,706
101,0.764612,707,713
102,0.861926,714,720
103,1.227731,721,727
104,6.047563,728,734
105,4.480677,735,741
106,1.741039,742,748
107,0.166825,749,755
108,0.075619,756,758
