# How are active users trending?,,,
# Start date: 20230215,,,
# End date: 20260215,,,
Nth day,30 days,7 days,1 day
0,23840,3579,879
1,23654,3605,744
2,23359,3659,495
3,22964,3637,227
4,22755,3774,543
5,22901,3956,1029
6,22722,4083,940
7,21422,4130,930
8,19288,4184,808
9,17144,4194,542
10,15956,4329,417
11,15553,4361,561
12,15723,4364,995
13,15705,4451,1068
14,15102,4418,884
15,14485,4440,845
16,13785,4409,498
17,13173,4337,297
18,13109,4316,507
19,13451,4286,974
20,13725,4267,1057
21,13979,4667,1444
22,13997,4779,1052
23,13871,4765,521
24,13562,4714,241
25,13480,4489,220
26,13505,4033,342
27,13547,3504,384
28,13395,2648,365
29,13116,1977,284
30,12737,1763,270
31,12564,1823,325
32,12529,2036,478
33,13078,2818,1260
34,13472,3628,1421
35,13700,4394,1431
36,13811,5031,1261
37,13648,5352,836
38,13411,5440,445
39,13462,5623,710
40,13942,5801,1513
41,14379,5939,1589
42,14721,6234,1703
43,14888,6413,1543
44,14844,6465,950
45,14658,6499,513
46,14701,6504,766
47,15740,7288,2489
48,16755,8186,2896
49,17497,8926,2988
50,17855,9192,2201
51,17682,9289,1255
52,17569,9453,805
53,17724,9654,1081
54,18727,9960,2850
55,20130,10610,3945
56,21412,11213,4119
57,22482,11892,3636
58,23093,12311,2102
59,23318,12373,1057
60,24197,13482,2983
61,25707,14707,4743
62,26882,14794,4224
63,27679,14311,3741
64,28142,13618,3030
65,28296,13367,1935
66,28087,13169,675
67,28042,12298,934
68,28382,10911,1677
69,28663,9386,1461
70,28645,8060,1276
71,28567,7037,1214
72,28318,6237,690
73,27933,5933,294
74,27911,5861,805
75,28278,5796,1555
76,28589,5808,1409
77,28428,5898,1418
78,28128,5929,1289
79,27705,6210,1052
80,27443,6635,978
81,27478,6947,1206
82,27823,6981,1576
83,28173,7074,1426
84,27852,6974,1280
85,27131,6978,1261
86,26094,6918,957
87,24987,6670,541
88,24440,6298,616
89,24467,5706,860
90,24119,5351,952
91,22763,4794,612
92,21309,4207,567
93,20145,3863,521
94,19007,3738,379
95,18383,3577,393
96,18305,3323,546
97,18144,2937,497
98,17603,2757,395
99,17158,2615,382
100,16729,2452,306
